symbol;longName;state;country;industry;sector;fullTimeEmployees;Open0;High0;Low0;Close0;Adj Close0;Volume0;Open1;High1;Low1;Close1;Adj Close1;Volume1
PLYM;Plymouth Industrial REIT, Inc.;MA;United States;REIT—Industrial;Real Estate;34.0;14.649999618530273;14.960000038146973;14.34000015258789;14.920000076293945;14.744882583618164;215100.0;15.319999694824219;15.34000015258789;14.880000114440918;14.989999771118164;14.81406021118164;466500.0
MEDP;Medpace Holdings, Inc.;OH;United States;Diagnostics & Research;Healthcare;3600.0;134.2100067138672;138.24000549316406;132.30999755859375;137.5800018310547;137.5800018310547;140200.0;139.0;143.66000366210938;139.0;143.3000030517578;143.3000030517578;196400.0
VALX;Validea Market Legends ETF;;;;;;;;;;;;;;;;;
KELYB;Kelly Services, Inc.;MI;United States;Staffing & Employment Services;Industrials;7100.0;19.170000076293945;19.610000610351562;19.010000228881836;19.579999923706055;19.579999923706055;5200.0;19.760000228881836;19.760000228881836;19.149999618530273;19.709999084472656;19.709999084472656;1100.0
LVIN;Hartford Multifactor Low Volatility International Equity ETF;;;;;;;;;;;;;;;;;
CEY;VictoryShares Emerging Market High Div Volatility Wtd ETF;;;;;;22.350000381469727;22.440000534057617;22.350000381469727;22.43400001525879;22.381736755371094;1200.0;22.64699935913086;22.69300079345703;22.6299991607666;22.652999877929688;22.6002254486084;5600.0
PLPM;;;;;;;;;;;;;;;;;;
CXP;Columbia Property Trust, Inc.;NY;United States;REIT—Office;Real Estate;160.0;13.630000114440918;13.739999771118164;13.300000190734863;13.550000190734863;13.356954574584961;422500.0;13.609999656677246;13.720000267028809;13.220000267028809;13.710000038146973;13.514674186706543;662700.0
FPEI;First Trust Institutional Preferred Securities and Income ETF;;;;;;20.350000381469727;20.41900062561035;20.34000015258789;20.364999771118164;20.214975357055664;60100.0;20.350000381469727;20.43000030517578;20.350000381469727;20.3700008392334;20.219938278198242;52800.0
ESQ;Esquire Financial Holdings, Inc.;NY;United States;Banks—Regional;Financial Services;99.0;22.100000381469727;22.610000610351562;21.510000228881836;21.760000228881836;21.760000228881836;8800.0;22.100000381469727;23.15999984741211;22.010000228881836;22.06999969482422;22.06999969482422;20200.0
ALKS;Alkermes plc;;Ireland;Biotechnology;Healthcare;2245.0;21.399999618530273;21.81999969482422;20.860000610351562;21.770000457763672;21.770000457763672;823100.0;21.940000534057617;22.239999771118164;21.610000610351562;22.200000762939453;22.200000762939453;1254400.0
ACIU;AC Immune SA;;Switzerland;Biotechnology;Healthcare;125.0;6.099999904632568;6.199999809265137;5.949999809265137;6.150000095367432;6.150000095367432;107000.0;6.28000020980835;6.710000038146973;6.019999980926514;6.599999904632568;6.599999904632568;467400.0
LINC;Lincoln Educational Services Corporation;NJ;United States;Education & Training Services;Consumer Defensive;1542.0;5.949999809265137;6.010000228881836;5.71999979019165;5.989999771118164;5.989999771118164;47700.0;6.079999923706055;6.170000076293945;5.869999885559082;6.0;6.0;231300.0
TMO;Thermo Fisher Scientific Inc.;MA;United States;Diagnostics & Research;Healthcare;80000.0;516.8400268554688;526.5900268554688;512.0;515.469970703125;515.1724853515625;2083100.0;519.989990234375;525.72998046875;518.010009765625;518.530029296875;518.2307739257812;1502000.0
GLO;Clough Global Opportunities Fund;MA;United States;Asset Management;Financial Services;;11.920000076293945;12.0;11.8100004196167;11.920000076293945;11.719017028808594;244900.0;12.0;12.1899995803833;11.970000267028809;12.100000381469727;11.89598274230957;90900.0
GIL;Gildan Activewear Inc.;QC;Canada;Apparel Manufacturing;Consumer Cyclical;44000.0;25.1299991607666;25.739999771118164;25.1299991607666;25.469999313354492;25.469999313354492;358500.0;25.690000534057617;25.829999923706055;25.190000534057617;25.40999984741211;25.40999984741211;565200.0
TRIP;TripAdvisor, Inc.;MA;United States;Travel Services;Consumer Cyclical;2196.0;31.43000030517578;33.04999923706055;31.15999984741211;32.810001373291016;32.810001373291016;1928300.0;33.5099983215332;34.0;32.75;33.689998626708984;33.689998626708984;1828900.0
NXPI;NXP Semiconductors N.V.;;Netherlands;Semiconductors;Technology;29000.0;166.44000244140625;172.44000244140625;166.10000610351562;171.52999877929688;171.01768493652344;4953000.0;180.0;183.0;170.6999969482422;177.2100067138672;176.68072509765625;6621800.0
AWRE;Aware, Inc.;MA;United States;Software—Application;Technology;90.0;4.010000228881836;4.010000228881836;3.809999942779541;3.9600000381469727;3.9600000381469727;46800.0;4.039999961853027;4.070000171661377;3.890000104904175;4.039999961853027;4.039999961853027;17700.0
SPOK;Spok Holdings, Inc.;VA;United States;Telecom Services;Communication Services;602.0;11.1899995803833;11.470000267028809;11.100000381469727;11.119999885559082;11.00017261505127;122200.0;11.380000114440918;11.739999771118164;11.319999694824219;11.680000305175781;11.55413818359375;89100.0
B;Barnes Group Inc.;CT;United States;Specialty Industrial Machinery;Industrials;4952.0;48.619998931884766;49.209999084472656;47.54999923706055;49.119998931884766;48.974159240722656;111100.0;49.9900016784668;50.279998779296875;49.040000915527344;49.68000030517578;49.53249740600586;108300.0
DYNT;Dynatronics Corporation;MN;United States;Medical Devices;Healthcare;190.0;1.1100000143051147;1.190000057220459;1.0700000524520874;1.1399999856948853;1.1399999856948853;734900.0;1.1399999856948853;1.1699999570846558;1.1100000143051147;1.1399999856948853;1.1399999856948853;244300.0
GFA;Gafisa S.A.;;;;;;;;;;;;;;;;;
ISRG;Intuitive Surgical, Inc.;CA;United States;Medical Instruments & Supplies;Healthcare;8081.0;752.0;760.8699951171875;740.0;746.1099853515625;746.1099853515625;628000.0;753.6599731445312;768.489990234375;753.6599731445312;757.8400268554688;757.8400268554688;551400.0
GME;GameStop Corp.;TX;United States;Specialty Retail;Consumer Cyclical;12000.0;316.55999755859375;322.0;212.0;225.0;225.0;37382200.0;140.75999450683594;158.0;74.22000122070312;90.0;90.0;78183100.0
IBP;Installed Building Products, Inc.;OH;United States;Building Products & Equipment;Industrials;8950.0;106.27999877929688;111.91000366210938;105.75;111.87000274658203;111.57816314697266;230200.0;114.45999908447266;117.73999786376953;110.6500015258789;116.62000274658203;116.3157730102539;227800.0
